srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
1369,2,2,2,11,3,2,2,2,2,1,2,2,1,3,3,3,3,4,3,3,1,1,1,1,1,1,1,1,1,4,2,4, , , , , , , , , ,4,4,4,4,3,4,3,2,3,2,2,3,2,2,3,5,1,2,2,13.700000000000001,1.0,2,7,2,7,2,F
630,2,4,11,33,101,2,2,1,1,1,1,3,4,4,2,3,3,2,2,2,7,7,6,3,7,6,6,8,4,4,4,2,2,2,2,2,1,2,1,3,2, , , , , , , , , , , , , , , ,4,1,2,1,9.28333333333334,6.25,0,7,1,8,4,F
765,2,1,29,13,1,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,5,4,3,2,3,3,2,4,2,2,2,4, , , , , , , , , ,1,1,-99,-99,-99,-99,1,2,2,2,2,3,3,3,3,4,1,3,2,20.28333333333336,3.25,0,1,4,14,1,F
1020,2,2,8,5,3,4,3,3,2,2,1,2,1,2,2,1,1,1,1,1,3,3,6,1,2,3,1,5,4,5,5,1,1,2,1,2,1,2,1,3,1, , , , , , , , , , , , , , , ,4,2,4,3,10.466666666666669,3.0,4,6,0,3,7,T
50,2,2,1,20,4,2,2,2,2,2,2,4,4,3,4,2,2,2,2,2,7,6,7,4,7,4,3,7,2,4,4,2,3,1,1,1,2,1,2,3,3, , , , , , , , , , , , , , , ,4,2,2,3,16.416666666666668,5.625,0,2,1,17,0,F
1197,2,4,16,16,1,2,1,1,2,1,3,3,4,3,3,2,1,2,2,3,6,5,8,2,5,7,7,9,2,2,2,2,2,1,1,2,2,2,2,3,1, , , , , , , , , , , , , , , ,4,1,4,2,21.78333333333333,6.125,0,3,3,10,4,F
22,1,2,1,13,3,1,1,1,1,1,1,4,4,3,3,2,2,3,4,3,5,8,6,3,9,8,5,8,4,4,4,2, , , , , , , , , ,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,4,2,3,3,12.383333333333333,6.5,1,5,2,6,6,F
983,2,4,1,17,101,2,2,2,2,2,2,2,1,1,2,1,2,2,4,1,5,5,1,1,4,3,1,7,2,2,2,2, , , , , , , , , ,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,2,1,3,2,7.316666666666669,3.375,3,3,0,12,2,F
1022,1,4,1,13,3,2,3,2,2,1,2,4,2,2,2,2,3,3,3,1,8,7,8,2,5,4,5,8,2,4,4,5, , , , , , , , , ,2,2,2,2,1,2,2,3,2,3,1,3,2,4,2,4,2,4,3,12.583333333333334,5.875,1,10,0,7,2,F
866,2,1,-98, ,3,2,2,2,1,2,2,3,3,3,3,2,2,2,2,2,5,3,3,2,3,5,3,3,1,4,4,2,1,1,2,1,1,1,1,3,1, , , , , , , , , , , , , , , ,4,2,4,3,9.350000000000009,3.375,0,2,4,11,3,F
