srcid,Mode,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,avg_trust_Q8,Vdisagree_count,disagree_count,neutral_count,agree_count,Vagree_count,opinionated
32,2,2,19,16,3,2,2,2,2,2,2,3,4,4,4,3,3,3,4,2,9,8,5,5,9,6,6,9,2,2,5,2, , , , , , , , , ,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,1,2,3,1,8.266666666666667,7.125,2,3,1,14,0,F
275,2,2,11,12,1,4,4,2,2,1,1,2,2,2,2,1,1,3,1,2,3,3,2,1,2,3,1,4,4,4,4,1,1,2,1,2,1,2,2,3,2, , , , , , , , , , , , , , , ,1,2,4,1,7.0333333333333306,2.375,2,8,0,4,6,F
1180,2,2,-99, ,3,2,2,3,2,3,3,-99,4,3,4,3,3,3,3,2,2,2,2,2,3,2,2,2,4,4,4,4,4,1,1,1,1,1,1,4,3, , , , , , , , , , , , , , , ,1,2,3,3,13.11333333333333,2.125,0,11,1,7,0,F
1600,2,2,19,29,3,2,2,1,2,2,3,4,2,2,2,1,1,1,1,1,4,5,5,1,5,4,3,7,4,1,1,1,2,-98,2,2,1,1,2,2,1, , , , , , , , , , , , , , , ,1,2,4,2,10.650000000000007,4.25,0,5,0,6,9,F
840,2,4,16,13,3,2,1,1,1,2,1,3,2,2,2,1,2,2,1,1,7,3,8,3,8,4,8,8,2,2,4,1,2,2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , ,1,1,4,2,8.416666666666663,6.125,0,5,1,6,8,F
1483,2,2,11,1,101,2,2,1,2,2,2,3,4,3,2,2,2,3,2,2,8,7,6,1,5,5,3,7,2,2,2,2, , , , , , , , , ,3,3,4,3,3,4,3,2,3,3,2,3,3,3,3,1,2,3,2,12.016666666666666,5.25,0,2,2,15,1,F
3,1,4,5,16,1,4,2,1,1,1,1,2,2,2,2,1,1,1,1,1,5,3,3,1,4,4,3,4,4,4,5,5, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,3,3,12.866666666666655,3.375,3,7,0,1,9,T
1635,2,2,2,11,3,2,2,2,2,2,2,4,4,3,4,2,2,2,2,2,4,4,3,2,5,5,4,7,4,4,4,2, , , , , , , , , ,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,1,1,3,2,17.83333333333333,4.25,0,3,1,16,0,F
1604,1,2,13,6,3,2,2,1,1,2,1,5,5,2,5,1,1,1,2,1,6,6,8,2,6,6,5,6,4,4,4,4,1,1,-98,1,1,1,1,3,3, , , , , , , , , , , , , , , ,1,2,4,3,16.949999999999996,5.625,0,5,0,5,10,T
21,1,4,11,11,101,1,1,1,1,-98,1,5,2,5,4,4,1,1,1,1,6,9,5,1,8,5, ,9,1,1,3,1,2,2,2,2,2,-98,2,1,3, , , , , , , , , , , , , , , ,1,2,3,3,15.899999999999983,5.375,1,2,2,1,14,T
2023,2,2,1,20,-98,2,2,2,2,1,1,4,4,3,3,3,3,4,4,4,9,9,9,8,9,9,9,9,1,2,2,4, , , , , , , , , ,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,2,12.399999999999999,8.875,3,3,2,9,3,F
1789,2,4,11,11,4,3,2,2,2,2,3,4,3,3,3,2,2,2,2,1,5,5,5,1,8,5,2,5,4,4,4,2,3,2,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,1,2,3,3,10.483333333333333,4.5,0,6,3,10,1,F
780,2,2,16,11,101,2,1,2,2,2,2,2,3,2,2,2,2,1,3,2,6,6,6,1,6,1,1,8,2,4,4,2,2,2,1,2,1,1,2,3,-98, , , , , , , , , , , , , , , ,1,2,4,3,10.583333333333334,4.375,0,6,1,11,2,F
859,2,2,28,28,101,2,2,4,2,4,2,4,4,4,3,4,3,3,3,3,9,8,5,3,8,7,6,9,4,4,4,4,2,2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , ,1,2,2,1,9.466666666666663,6.875,3,8,1,8,0,F
733,2,2,4,96,1,1,1,1,1,1,1,4,4,4,4,2,2,2,3,2,7,7,6,7,7,7,7,7,2,4,2,4,3,1,1,1,1,2,2,2,3, , , , , , , , , , , , , , , ,1,1,2,1,4.929999999999997,6.875,0,3,0,11,6,F
2355,1,1,1,13,1,1,2,2,1,1,1,5,5,5,5,3,1,4,2,2,9,9,9,1,8,8,5,10,4,5,5,5, , , , , , , , , ,3,1,3,3,3,4,4,2,1,4,1,4,3,2,3,1,2,4,3,12.25000000000001,7.375,4,2,0,4,10,T
750,2,5,19,16,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,1,4,3,3,4,4,4,4,4, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,1,1,3,2,20.016666666666673,3.0,1,5,3,11,0,F
1538,2,2,-98, ,101,2,3,2,2,2,2,3,2,3,2,1,1,3,2,2,2,4,2,1,1,5,2,7,4,4,4,2,2,2,2,1,1,1,1,3,1, , , , , , , , , , , , , , , ,1,2,3, ,14.683333333333326,3.0,0,7,2,9,2,F
2607,1,2,16,2,1,3,1,1,2,2,1,3,3,3,2,2,2,2,2,1,7,7,6,6,8,6,6,7,2,4,4,1,2,1,1,1,1,-98,1,3,2, , , , , , , , , , , , , , , ,1,2,4,3,13.899999999999995,6.625,0,4,3,8,5,F
1052,1,3,36,16,101,2,2,2,2,1,1,4,3,2,2,2,2,2,1,1,5,5,3,2,4,4,2,4,3,4,4,4, , , , , , , , , ,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,1,2,4,3,15.650000000000002,3.625,0,5,3,8,4,F
977,2,4,11,35,3,1,1,1,1,1,1,3,2,3,2,2,2,1,2,1,2,2,1,1,3,1,2,5,5,5,5,1,1,1,1,2,2,1,2,2,3, , , , , , , , , , , , , , , ,1,2,4,1,14.649999999999999,2.125,3,3,2,3,9,T
466,1,4,13,16,1,3,3,2,2,2,2,4,4,5,2,3,2,3,3,1,5,5,2,2,8,3,7,2,2,4,4,2,2,1,2,1,2,1,2,2,3, , , , , , , , , , , , , , , ,1,2,4,3,14.816666666666684,4.25,0,9,0,9,2,F
537,1,4,13,1,1,2,2,2,1,2,1,5,3,4,3,3,1,2,3,3,8,8,9,6,8,8,8,9,2,2,4,1, , , , , , , , , ,2,2,2,2,1,1,3,2,3,3,1,3,2,4,3,1,2,4,3,12.366666666666667,8.0,0,5,2,8,5,F
1271,2,4,11,16,101,3,3,2,2,2,2,5,2,2,5,1,1,1,3,1,4,7,7,3,9,3,3,9,2,2,2,2,2,2,2,1,1,2,1,4,2, , , , , , , , , , , , , , , ,1,2,2,1,14.816666666666674,5.625,0,6,0,8,6,F
293,2,2,13,16,-98,1,1,1,1,1,1,3,4,4,5,2,2,3,3,3,7,8,5,6,7,5,6,7,2,2,2,2, , , , , , , , , ,2,2,2,3,3,3,2,3,2,2,2,3,4,3,3,2,2,2,1,33.13333333333334,6.375,0,3,1,9,7,F
2498,2,4,16,30,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,3,2,7,3,1,10,4,4,4,4, , , , , , , , , ,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,6.599999999999999,4.5,5,5,4,6,0,F
656,2,2,19,33,3,3,3,2,1,2,2,1,1,2,1,1,1,2,2,1,3,4,3,1,5,3,1,1,4,4,4,1,3,2,2,2,-98,1,-98,1,3, , , , , , , , , , , , , , , ,2,1,4,1,29.19999999999997,2.625,3,6,0,6,5,F
1324,1,1,1,29,1,1,1,1,1,1,1,5,4,5,5,1,1,3,1,3,10,4,4,4,8,6,4,5,4,5,4,2,1,2,1,1,1,1,-98,2,3, , , , , , , , , , , , , , , ,2,1,4,3,12.550000000000004,5.625,1,4,0,2,13,T
464,1,5,19,19,101,2,2,1,1,1,1,4,2,2,3,3,3,3,4,2,1,1,1,1,1,1,1,1,5,5,5,1, , , , , , , , , ,3,3,2,4,3,3,3,3,3,2,1,3,2,3,3,2,1,4,2,13.433333333333323,1.0,5,5,1,4,5,T
199,2,2,11,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,2,1,7,5,5,5,5,5,1,8,4,2,2,2, , , , , , , , , ,2,2,3,3,2,3,2,4,2,3,2,3,4,3,4,2,2,2,2,10.533333333333337,5.125,0,2,4,5,9,T
1233,1,2,1,11,3,1,1,1,1,2,2,2,1,4,4,2,2,4,4,1,7,7,6,2,7,2,7,7,2,4,4,2, , , , , , , , , ,1,1,2,2,2,2,1,3,4,1,1,3,3,3,3,2,2,4,1,16.866666666666653,5.625,3,3,0,9,5,F
1428,2,2,30,17,3,1,1,1,1,1,1,4,2,4,2,3,3,4,3,3,7,7,7,3,7,5,4,9,2,2,2,2, , , , , , , , , ,3,3,3,3,3,4,3,2,3,1,1,1,3,3,3,6,2,2,1,9.783333333333335,6.125,1,6,0,7,6,F
2468,2,2,5,6,3,2,2,1,1,2,1,5,4,4,4,1,1,2,2,2,6,6,7,1,5,6,7,8,4,4,4,2,2,1,1,2,2,2,2,4,1, , , , , , , , , , , , , , , ,6,2,4,3,9.533333333333342,5.75,0,3,0,11,6,F
1774,2,4,20,11,3,1,1,1,1,1,1,3,3,3,2,3,2,2,3,2,8,8,7,7,9,8,5,9,4,4,4,2, , , , , , , , , ,-98,-98,-98,3,3,3,3,-98,2,2,2,3,2,2,3,2,2,4,1,35.23333333333333,7.625,0,7,3,4,6,F
103,1,3,96,28,1,2,3,2,2,3,3,5,4,3,3,1,1,1,1,1,7,2,5,1,5,1,1,7,1,3,3,1, , , , , , , , , ,2,1,1,3,1,1,1,1,1,1,1,1,2,2,1,2,2,4,1,14.366666666666674,3.625,0,3,5,4,8,T
1137,1,1,28,1,1,1,1,1,1,1,1,2,2,3,2,1,1,3,2,1,6,5,3,2,7,5,1,6,2,4,5,5, , , , , , , , , ,2,2,2,3,2,3,3,1,1,3,1,3,3,3,3,2,2,4,3,13.38333333333332,4.375,2,5,1,2,10,T
215,2,4,11,13,1,1,3,1,1,1,1,2,1,3,1,3,3,2,3,2,7,7,4,2,8,5,5,9,1,2,4,2, , , , , , , , , ,3,3,4,3,3,4,3,3,3,4,2,3,3,4,3,2,1,4,1,11.216666666666663,5.875,2,7,1,4,6,F
4,1,5,29,13,1,2,1,1,1,1,1,2,2,4,4,4,3,4,4,3,9,7,9,2,7,9,2,9,5,5,5,5,1,1,2,1,1,1,1,4,1, , , , , , , , , , , , , , , ,2,2,3,1,13.316666666666666,6.75,8,4,0,3,5,T
1329,2,4,11,5,4,2,2,1,1,2,2,2,4,3,2,2,2,2,3,2,7,7,5,2,8,5,2,8,2,4,5,2, , , , , , , , , ,4,4,3,4,4,4,4,2,2,2,1,2,2,1,2,2,1,3,1,10.400000000000006,5.5,1,5,1,11,2,F
2384,2,4,28,4,3,1,2,3,3,3,3,3,1,2,2,1,1,2,3,1,3,3,3,2,3,1,1,3,1,1,2,2,2,1,2,1,1,1,1,3,2, , , , , , , , , , , , , , , ,2,1,4,2,28.96666666666667,2.375,1,8,1,4,6,F
772,2,5,16,6,101,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,3,1,1,3,2,4,2,2,3,2,1,2,1,2,2,3,2, , , , , , , , , , , , , , , ,2,2,3,1,19.216666666666693,1.625,5,2,0,9,4,F
1165,2,2,5,37,4,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,1,3,1,2,3,4,4,4,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,16.5,2.125,2,7,0,9,2,F
2267,2,2,17,4,3,3,2,2,1,2,2,4,4,4,2,2,1,2,2,1,7,7,5,4,7,4,7,8,2,4,2,2,2,1,1,1,1,1,1,3,3, , , , , , , , , , , , , , , ,2,1,3,2,7.916666666666664,6.125,0,3,0,14,3,F
137,1,2,11,32,4,2,2,2,2,2,1,-98,3,3,-98,3,1,3,2,2,8,7,5,1,6,6,5,5,4,5,5,4,4,-98,-98,-98,-98,-98,2,3,1, , , , , , , , , , , , , , , ,2,2,4,1,20.116666666666667,5.375,2,4,2,8,2,F
1858,2,4,16,11,3,2,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,3,1,7,1,1,3,4,2,5,1,3,2,2,1,1,2,2,2,2, , , , , , , , , , , , , , , ,2,2,4,3,23.01666666666667,2.25,9,2,0,4,5,T
1067,1,3,13,29,101,3,3,2,2,2,2,2,1,4,3,1,1,3,3,1,2,5,5,2,5,4,5,7,4,4,4,1, , , , , , , , , ,2,1,2,2,2,-98,1,3,2,3,1,3,3,3,3,3,2,4,2,18.766666666666673,4.375,1,8,2,5,4,F
1019,2,1,1,36,3,1,1,1,1,1,1,4,4,3,3,3,2,1,4,2,6,6,6,3,7,5,2,8,4,4,4,4,2,1,1,2,2,1,2,2,3, , , , , , , , , , , , , , , ,3,1,4,3,8.083333333333327,5.375,1,5,2,4,8,T
1226,2,4,29,13,3,2,2,2,2,2,1,1,1,2,3,2,1,1,1,1,8,7,7,4,9,5,7,9,2,2,4,1,1,1,2,1,1,1,1,3,1, , , , , , , , , , , , , , , ,3,1,4,1,16.25000000000001,7.0,2,3,1,8,6,F
990,2,2,96,19,1,3,3,2,2,2,1,3,3,3,3,1,2,3,2,2,5,5,5,1,3,5,2,5,4,4,4,2, , , , , , , , , ,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,1,4,2,9.399999999999999,3.875,0,6,4,8,2,F
509,2,2,1,13,3,2,2,1,1,2,1,3,3,4,3,3,3,3,3,3,6,4,2,3,5,2,5,7,2,5,4,4, , , , , , , , , ,3,3,3,3,1,3,2,3,3,4,3,3,3,3,3,3,1,3,3,6.699999999999997,4.25,1,7,3,6,3,F
1910,2,4,11,16,-98,2,2,2,2,1,1,5,2,3,5,1,2,2,3,1,8,8,9,9,9,9,9,9,2,4,4,4, , , , , , , , , ,3,3,3,3,1,2,3,3,3,3,2,3,3,3,3,3,2,2,3,12.63333333333333,8.75,0,6,1,7,6,F
128,2,2,11,1,1,2,2,1,2,2,1,3,3,3,3,3,3,3,3,3,8,7,8,2,7,3,4,8,2,4,4,4,4,1,1,2,2,2,2,4,2, , , , , , , , , , , , , , , ,3,2,3,1,24.216666666666676,5.875,0,8,4,6,2,F
770,2,2,19,19,1,2,2,2,2,2,2,4,2,3,3,3,3,3,3,3,8,7,5,1,7,4,1,5,4,4,4,2, , , , , , , , , ,2,2,3,2,1,4,2,3,3,2,3,3,3,2,3,3,2,3,1,17.80000000000001,4.75,0,9,2,9,0,F
1061,2,4,16,36,1,2,1,1,1,1,1,3,2,3,2,1,1,2,2,1,7,6,8,1,6,3,4,9,2,2,1,1,2,1,2,2,2,2,2,2,3, , , , , , , , , , , , , , , ,3,1,3,2,11.116666666666665,5.5,0,3,2,5,10,T
305,2,4,11,16,101,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,4,2,1,1,3,3,3,3,2,2,2,2, , , , , , , , , ,2,2,2,4,1,2,3,2,2,3,2,3,3,3,3,3,2,3,1,28.983333333333327,2.5,0,5,0,12,3,F
452,2,2,5,1,1,2,4,2,1,1,1,3,3,4,2,1,2,3,2,1,8,7,8,1,7,6,3,7,2,4,2,2,2,1,1,2,1,1,2,4,2, , , , , , , , , , , , , , , ,3,1,4,3,6.816666666666665,5.875,1,3,2,9,5,F
320,2,2,16,11,1,1,1,1,1,1,1,3,3,4,4,2,2,4,3,2,8,8,8,5,5,7,8,9,2,5,5,1,4,1,1,2,1,2,2,2,3, , , , , , , , , , , , , , , ,3,2,4,1,23.7,7.25,3,1,2,7,7,T
595,2,4,1,4,1,2,2,2,1,1,1,4,5,3,4,1,1,2,1,1,6,6,1,2,7,1,1,5,2,2,4,2, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,2,11.766666666666666,3.625,0,2,1,9,8,F
1384,2,2,1,1,3,1,1,1,1,1,1,5,5,3,3,1,1,1,1,1,6,5,6,6,6,6,6,6,4,4,4,2, , , , , , , , , ,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,2,12.533333333333324,5.875,0,3,2,2,13,T
1687,1,4,13,34,101,4,4,1,1,1,1,5,4,4,2,3,1,4,3,1,9,8,3,1,4,4,1,9,1,4,4,1, , , , , , , , , ,1,1,2,2,1,1,1,3,3,2,2,3,2,3,2,3,1,4, ,13.6,4.875,3,6,0,2,9,T
308,2,2,-98, ,-99,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,5,3,5,3,3,5,3,5,2,4,4,2,2,1,1,-99,1,1,1,3,3, , , , , , , , , , , , , , , ,3,1,4, ,13.599999999999993,4.0,0,3,3,14,0,F
269,1,4,16,5,101,2,2,2,2,2,2,2,2,1,3,2,2,1,3,2,6,6,6,4,6,6,5,6,2,4,2,2, , , , , , , , , ,3,3,3,3,3,3,3,2,3,3,1,4,3,3,4,3,1,3,2,23.100000000000005,5.625,1,5,1,12,1,F
1072,1,4,1,5,1,2,3,2,1,1,1,4,5,2,2,2,1,2,1,1,6,8,8,4,9,8,4,10,1,1,1,1, , , , , , , , , ,3,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,2,4,3,11.033333333333328,7.125,0,4,0,5,11,T
1070,1,4,16,13,101,2,2,3,2,1,2,5,4,4,4,2,2,3,3,2,5,5,7,3,6,5,4,5,2,4,4,1,2,1,2,1,1,1,1,3,3, , , , , , , , , , , , , , , ,3,1,4,3,14.666666666666666,5.0,0,6,0,11,3,F
2034,2,4,1,29,101,2,2,2,1,1,1,1,1,3,3,2,2,3,2,1,6,8,8,1,7,3,3,7,2,2,1,4,2,1,1,2,1,1,1,3,3, , , , , , , , , , , , , , , ,3,2,3,2,16.46666666666667,5.375,2,3,2,8,5,F
1069,1,2,1,13,101,2,2,2,2,2,1,3,3,3,3,2,2,2,4,2,7,7,7,2,8,2,4,8,4,4,4,4,2,1,1,1,1,1,2,2,3, , , , , , , , , , , , , , , ,3,2,3,2,11.516666666666655,5.625,1,4,4,10,1,F
28,1,4,-98, ,101,2,2,2,2,2,2,5,1,1,2,1,1,2,1,2, ,6,7, ,8,4,7,9,5,5,4,4, , , , , , , , , ,1,1,1,4,2,2,1,2,4,2,2,4,2,4,4,3,2,4,3,19.083333333333336,5.125,4,4,0,8,4,F
1214,2,2,20,35,3,1,1,1,1,1,1,2,2,4,2,2,2,3,4,2,7,7,5,5,8,7,3,10,4,4,4,4, , , , , , , , , ,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,4,1,13.166666666666663,6.5,1,8,0,5,6,F
463,1,2,1,16,1,1,1,1,1,1,1,5,4,4,5,2,3,2,3,2,5,5,5,7,5,4,4,7,4,5,4,1, , , , , , , , , ,2,3,3,3,3,3,3,3,3,2,2,4,3,4,4,4,2,4,3,18.299999999999994,5.25,1,4,0,6,9,T
64,2,4,13,36,3,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,4,4,3,3,6,5,4,5,4,5,4,1,4,2,2,1,2,2,1,4,3, , , , , , , , , , , , , , , ,4,2,4,1,24.266666666666655,4.25,2,3,0,0,15,T
721,2,2,6,1,1,1,2,2,2,2,2,5,5,3,2,2,1,1,2,2,6,6,7,5,5,7,7,8,4,4,2,1,2,2,1,2,1,1,1,3,2, , , , , , , , , , , , , , , ,4,2,2,1,14.249999999999993,6.375,0,3,1,10,6,F
1846,2,2,11,14,1,2,2,2,1,2,1,4,2,4,2,2,2,3,2,2,7,7,5,5,9,1,7,9,4,2,4,2,2,1,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,4,2,2,1,11.333333333333327,6.25,0,5,0,13,2,F
535,1,2,28,17,1,2,2,2,2,1,1,3,5,2,2,1,1,1,2,4,5,5,5, ,6,8, ,5,5,4,4,-98, , , , , , , , , ,2,2,2,3,2,3,3,-98,-98,-98,2,3,-98,-98,-98,4,2,4, ,20.449999999999992,4.25,2,4,1,6,6,F
1246,2,4,-98, ,-98,2,2,1,2,2,1,4,4,4,2,1,1,2,2,2,5,5,5,1,5,5,1,5,2,4,4,2,1,1,2,1,1,1,1,3,1, , , , , , , , , , , , , , , ,4,2,2,2,7.0166666666666675,4.0,0,4,0,12,4,F
33,2,2,13,96,3,2,2,2,2,2,2,4,5,4,4,1,2,2,1,2,6,6,7,3,4,4,6,8,4,4,2,2,2,2,1,1,2,1,1,1,3, , , , , , , , , , , , , , , ,4,1,3,2,9.666666666666663,5.5,0,2,0,15,3,F
1155,2,2,30,1,1,1,1,1,1,1,1,5,5,4,5,1,2,3,2,1,6,5,6,4,7,6,4,7,2,4,4,2, , , , , , , , , ,2,3,4,3,4,3,3,3,3,3,2,3,4,4,3,5,2,2,2,23.18333333333333,5.625,0,3,0,6,11,T
613,1,2,13,16,3,2,1,1,1,2,1,5,5,2,2,1,1,1,1,1,1,10,1,1,10,1,1,10,4,5,5,2, , , , , , , , , ,4,3,3,1,1,1,3,1,1,3,1,3,3,3,3,5,2,4,1,17.7,4.375,2,3,0,4,11,T
1219,2,2,34,13,101,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,7,7,1,7,7,7,7,7,4,4,4,2, , , , , , , , , ,3,3,3,3,3,4,3,3,3,1,3,2,3,3,3,5,2,4,3,23.566666666666723,6.25,0,6,0,8,6,F
249,2,2,17,16,1,1,1,1,1,1,1,4,3,3,3,3,4,3,3,4,8,7,7,3,8,8,7,8,2,2,2,2,2,2,1,2,2,2,2,3,3, , , , , , , , , , , , , , , ,5,2,4,3,14.76666666666666,7.0,2,3,3,6,6,F
1859,2,4,11,6,4,2,2,2,2,2,2,3,5,4,4,3,3,4,3,3,5,5,1,1,5,5,5,8,5,5,5,5, , , , , , , , , ,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,5,2,4,1,20.700000000000003,4.375,5,5,1,8,1,F
863,2,2,19,19,101,2,2,2,2,2,1,3,3,2,2,2,2,2,2,2,4,4,5,1,1,3,4,6,2,2,2,2,2,1,1,1,1,1,1,4,1, , , , , , , , , , , , , , , ,5,1,3,1,17.999999999999968,3.5,0,2,2,15,1,F
688,1,2,11,30,3,3,4,4,4,3,3,1,1,2,1,1,1,1,1,1,2,4,2,1,3,2,1,1,2,5,4,1, , , , , , , , , ,-98,2,2,-98,2,1,2,3,4,3,2,3,3,-98,3,5,2,4,1,17.13333333333335,2.0,7,5,0,2,6,T
304,2,2,13,1,1,3,3,1,2,3,2,2,2,1,1,1,1,1,1,1,3,1,7,1,5,3,4,3,4,5,4,1,2,1,2,1,1,1,1,3,2, , , , , , , , , , , , , , , ,5,1,2,2,12.366666666666669,3.375,3,7,0,3,7,T
1591,1,4,16,11,3,2,3,3,1,1,1,1,3,2,2,1,1,1,1,1,6,4,4,3,4,4,3,4,5,5,5,5, , , , , , , , , ,1,2,2,3,3,3,2,1,1,1,1,3,3,3,2,1,1,3,2,12.83333333333334,4.0,5,5,1,1,8,T
1986,2,2,16,20,3,2,2,2,2,2,2,3,3,4,2,3,2,3,4,3,7,7,7,1,8,5,2,8,2,2,2,2,2,2,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,3,1,3,1,8.083333333333336,5.625,1,4,2,13,0,F
51,2,2,1,35,-98,1,1,1,2,2,1,4,4,4,4,2,2,2,2,1,7,8,7,4,8,5,4,9,2,4,2,2,3,2,1,2,1,2,2,3,3, , , , , , , , , , , , , , , ,3,2,2,1,12.933333333333332,6.5,0,1,0,14,5,F
1768,2,4,16,16,4,3,2,1,1,1,1,4,2,4,4,3,3,4,3,2,9,9,3,2,5,7,4,9,5,5,5,5,1,1,1,2,2,2,2,4,3, , , , , , , , , , , , , , , ,1,1,3,1,32.75000000000001,6.0,5,6,0,5,4,F
1092,2,2,4,13,3,2,3,2,2,1,1,2,3,4,3,2,1,4,3,3,8,9,7,5,4,3,1,9,1,2,2,4, , , , , , , , , ,2,2,2,3,2,2,1,2,2,4,1,4,1,4,3,1,2,2,1,9.366666666666665,5.75,1,5,2,8,4,F
79,2,2,4,1,1,1,2,2,-98,4,2,4,5,4,5,2,2,2,3,2,7,6,7,5,5,5,2,5,4,5,4,2, , , , , , , , , ,2,2,2,4,2,3,3,3,2,2,-98,3,3,3,3,1,2,4,3,28.433333333333362,5.25,2,3,1,11,3,F
1969,2,2,96,29,4,3,3,2,2,2,2,3,3,3,2,2,2,2,3,1,5,6,6,4,6,4,4,6,1,4,2,4,2,2,2,2,1,2,2,3,3, , , , , , , , , , , , , , , ,4,1,2,2,12.549999999999995,5.125,0,6,3,9,2,F
1648,2,2,8,13,3,2,2,2,2,1,1,2,3,4,2,1,1,2,2,2,7,7,5,3,5,5,5,8,1,5,2,1, , , , , , , , , ,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,2,1,3,1,16.816666666666674,5.625,1,2,1,10,6,F
1592,2,1,2,2,3,3,2,1,2,2,3,3,5,3,2,1,2,1,3,3,6,7,10,3,10,6,10,8,4,5,4,2, , , , , , , , , ,1,1,1,3,1,4,2,1,1,1,3,3,4,1,3,2,2,1,3,8.416666666666663,7.5,1,7,2,5,5,F
578,2,2,1,33,-98,2,2,2,2,2,1,3,3,4,3,3,2,4,4,3,8,6,9,2,7,2,2,9,2,2,2,4, , , , , , , , , ,3,3,3,3,3,4,2,4,4,4,3,3,3,4,4,1,2,2,2,30.63333333333331,5.625,2,3,3,11,1,F
1266,2,2,5,6,3,3,3,3,2,2,2,5,5,4,4,1,2,3,3,4,10,10,10,10,8,7,10,10,4,2,2,2,2,2,1,2,1,2,1,3,3, , , , , , , , , , , , , , , ,5,2,2,3,5.333333333333337,9.375,1,6,0,10,3,F
787,2,1,16,16,-98,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,4,4,4,2,5,4,3,5,2,4,4,2, , , , , , , , , ,2,2,2,2,2,4,2,2,2,1,2,3,2,1,3,3,1,3,2,9.949999999999994,3.875,0,5,1,12,2,F
1849,2,4,16,20,1,1,1,1,1,1,1,3,2,2,2,3,1,4,4,2,7,7,7,1,9,2,1,9,2,2,4,1,3,2,1,2,2,1,2,3,1, , , , , , , , , , , , , , , ,5,2,2,3,38.133333333333375,5.375,2,6,1,3,8,T
1462,2,2,16,19,-98,2,2,2,2,2,2,3,4,3,3,2,2,2,2,2,3,2,1,3,3,4,5,4,4,4,4,2,2,2,1,2,2,2,2,3,1, , , , , , , , , , , , , , , ,2,2,4, ,13.38333333333333,3.125,0,3,3,14,0,F
1193,2,2,1,5,1,2,2,2,2,2,2,2,5,4,4,1,1,2,2,1,8,7,4,1,7,3,1,8,2,4,4,2,3,2,1,2,2,2,1,2,3, , , , , , , , , , , , , , , ,5,2,2,1,9.01666666666667,4.875,0,3,0,13,4,F
862,2,2,1,13,101,1,1,1,1,1,1,4,4,3,2,1,1,2,2,1,3,5,5,1,7,4,1,3,1,4,2,1, , , , , , , , , ,2,3,3,3,2,3,3,1,1,3,2,3,3,2,3,1,1,4,3,20.600000000000016,3.625,0,2,1,6,11,T
2047,2,2,1,5,3,2,2,2,1,2,2,4,3,4,3,1,1,1,1,1,7,7,6,6,8,8,7,7,1,2,2,1,2,1,2,2,2,1,2,4,3, , , , , , , , , , , , , , , ,3,2, ,2,27.48333333333333,7.0,0,0,2,10,8,F
